wave,only_means,message,prevent,condemn,justified,mate_compete,job_compete,life_satisfaction,excess_males,age,age_group,gender,state,citizenship,marital,religion,eduyrs,occupation,income,household_size,self_econ,distance_ref,settle_ref,left_right,afd,muslim_att,afd_att,contact_att,outcome_list,ref_integrating,ref_citizenship,ref_reduce,ref_moredone,ref_cultgiveup,ref_economy,ref_crime,ref_terror,ref_loc_services,ref_loc_economy,ref_loc_crime,ref_loc_culture,ref_loc_islam,ref_loc_schools,ref_loc_housing,ref_loc_wayoflife
1,1,NA,NA,3,2,NA,NA,NA,NA,27,18-29,Male,Bremen,1,Married,"Christian, but not close to a particular religious community",NA,Employee in high position,"3,000 to below 3,500 <80>",2,8,Less than 3 kilometer,1000 and more,7,10,0.5,0,0.16666666666666666,2,2,4,3,1,3,2,2,2,3,2,1,4,1,4,4,1
1,2,NA,NA,1,1,NA,NA,NA,NA,64,60 and older,Male,Bayern,1,Married,"No, I don't feel close to any religion",NA,Retired,"500 to below 1,000 <80>",2,2,6-10 kilometers,1 <96> 49,5,0,0.875,0.6666666666666666,0,2,3,2,2,3,3,4,3,3,3,3,3,3,3,4,4,3
1,1,NA,NA,1,1,NA,NA,NA,NA,24,18-29,Male,Saarland,1,"Single, without partner",Roman Catholic,NA,"In schooling / vocational training, student",below 500 <80>,3,7,21-50 kilometers,1 <96> 49,5,3,0.125,0,0.3333333333333333,3,2,1,1,2,1,3,1,1,1,2,1,1,1,4,1,1
1,2,NA,NA,3,2,NA,NA,NA,NA,25,18-29,Female,Niedersachsen,1,"With partner, not living together","No, I don't feel close to any religion",NA,Employee in low / medium position,"5,000 or more <80>",4,7,11-20 kilometers,50 <96> 249,3,0,0.5,0,0.16666666666666666,1,3,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3
1,2,NA,NA,4,4,NA,NA,NA,NA,61,60 and older,Male,Bayern,1,Widowed,Roman Catholic,NA,Retired,"500 to below 1,000 <80>",1,0 ( BOTTOM ),Less than 3 kilometer,250 <96> 499,5,100,1,1,0.6666666666666666,2,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,1,NA,NA,2,1,NA,NA,NA,NA,51,50-59,Female,Nordrhein-Westfalen,1,Married,Roman Catholic,NA,Employee in high position,"3,500 to below 4,000 <80>",3,7,Less than 3 kilometer,500 <96> 999,5,0,0,0,0.3333333333333333,2,3,2,3,2,3,3,2,3,3,3,2,2,2,3,3,3
1,2,NA,NA,3,4,NA,NA,NA,NA,38,30-39,Female,Nordrhein-Westfalen,1,"With partner, living together","No, I don't feel close to any religion",NA,Employee in high position,"4,000 to below 4,500 <80>",2,8,Less than 3 kilometer,1000 and more,5,19,0.625,0.3333333333333333,0.5,2,3,4,4,3,3,3,3,2,3,2,3,2,3,4,3,4
1,2,NA,NA,2,2,NA,NA,NA,NA,45,40-49,Female,Niedersachsen,1,Married,Protestant Free Church,NA,Employee in low / medium position,"2,500 to below 3,000 <80>",2,5,6-10 kilometers,1000 and more,5,0,0.375,0,1,2,4,4,3,4,1,4,4,4,3,4,4,3,4,4,4,3
1,1,NA,NA,2,1,NA,NA,NA,NA,26,18-29,Female,Niedersachsen,1,"With partner, living together",Protestant Free Church,NA,Parental leave,"2,500 to below 3,000 <80>",3,6,3-5 kilometers,50 <96> 249,0,0,0.5,0,0.5,2,2,2,2,1,4,2,2,1,2,2,2,2,2,3,3,2
1,1,NA,NA,1,1,NA,NA,NA,NA,63,60 and older,Female,Hessen,1,"With partner, living together",Protestant,NA,Retired,"2,500 to below 3,000 <80>",2,6,11-20 kilometers,There are no refugees in my town,4,0,0.75,0.6666666666666666,0,3,3,1,3,3,2,3,3,2,2,3,2,3,2,2,2,2
1,2,NA,NA,3,2,NA,NA,NA,NA,29,18-29,Female,Brandenburg,1,"With partner, living together","No, I don't feel close to any religion",NA,Employee in high position,"4,500 to below 5,000 <80>",2,8,Less than 3 kilometer,1000 and more,7,50,0.625,1,0.5,2,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3
1,1,NA,NA,1,1,NA,NA,NA,NA,47,40-49,Female,Nordrhein-Westfalen,1,Divorced / separated,Protestant,NA,Employee in low / medium position,"500 to below 1,000 <80>",3,5,Don't know,50 <96> 249,5,0,0.5,0,0.16666666666666666,2,4,2,2,3,2,2,1,2,2,2,2,1,2,4,2,2
1,1,NA,NA,1,1,NA,NA,NA,NA,53,50-59,Male,Bayern,1,Registered partnership,"No, I don't feel close to any religion",NA,Employee in low / medium position,"4,500 to below 5,000 <80>",2,8,Less than 3 kilometer,1000 and more,2,0,0.5,0,0,2,2,3,1,2,3,2,1,1,3,2,1,2,1,4,3,3
1,3,NA,NA,2,2,NA,NA,NA,NA,29,18-29,Female,Th<fc>ringen,1,"With partner, living together","No, I don't feel close to any religion",NA,Unemployed / seeking work,"1,500 to below 2,000 <80>",4,6,3-5 kilometers,250 <96> 499,0,10,0.875,1,0.5,3,3,3,4,3,4,3,3,4,3,3,3,3,2,3,3,3
1,1,NA,NA,1,1,NA,NA,NA,NA,70,60 and older,Male,Baden-W<fc>rttemberg,1,Married,Protestant,NA,Self-employed / freelancer,"4,000 to below 4,500 <80>",2,8,More than 50 kilometer,500 <96> 999,8,0,0.375,0.3333333333333333,0.3333333333333333,1,2,1,3,2,4,2,2,2,3,2,2,2,3,4,3,3
1,1,NA,NA,1,1,NA,NA,NA,NA,68,60 and older,Male,Sachsen,1,Married,Protestant,NA,Retired,"2,000 to below 2,500 <80>",2,8,3-5 kilometers,50 <96> 249,3,0,0.375,0,0.3333333333333333,2,3,1,2,2,3,1,3,4,2,2,3,2,3,4,3,3
1,2,NA,NA,4,3,NA,NA,NA,NA,22,18-29,Female,Hessen,1,"With partner, living together",Roman Catholic,NA,"In schooling / vocational training, student",below 500 <80>,4,8,3-5 kilometers,50 <96> 249,4,0,0.625,0,0.5,2,2,1,2,4,3,3,2,3,3,4,4,3,3,2,2,3
1,3,NA,NA,1,3,NA,NA,NA,NA,43,40-49,Female,Sachsen-Anhalt,1,"With partner, living together","No, I don't feel close to any religion",NA,Retired,"500 to below 1,000 <80>",2,8,More than 50 kilometer,50 <96> 249,5,30,1,1,0.16666666666666666,2,2,2,4,3,3,2,4,4,3,2,3,3,1,3,3,3
1,1,NA,NA,2,1,NA,NA,NA,NA,26,18-29,Female,Hessen,1,"With partner, living together",Protestant,NA,"In schooling / vocational training, student","2,500 to below 3,000 <80>",2,5,21-50 kilometers,1 <96> 49,5,0,0.875,0,0,1,3,4,4,4,3,3,4,4,2,3,3,3,2,2,2,2
1,1,NA,NA,2,1,NA,NA,NA,NA,61,60 and older,Female,Schleswig-Holstein,1,Married,Protestant,NA,Employee in low / medium position,"2,000 to below 2,500 <80>",2,6,21-50 kilometers,50 <96> 249,2,0,0.5,0,0.3333333333333333,3,3,2,3,3,3,2,3,2,3,2,2,2,3,3,3,3
1,4,NA,NA,1,3,NA,NA,NA,NA,23,18-29,Female,Bayern,1,"Single, without partner",Roman Catholic,NA,Employee in low / medium position,No answer,4,6,Less than 3 kilometer,1 <96> 49,3,0,0.75,1,0.5,1,2,4,4,4,3,3,3,4,3,3,3,3,1,3,1,3
1,1,NA,NA,1,2,NA,NA,NA,NA,45,40-49,Male,Nordrhein-Westfalen,1,"Single, without partner","No, I don't feel close to any religion",NA,Unemployed / seeking work,"500 to below 1,000 <80>",1,5,11-20 kilometers,50 <96> 249,3,0,0.75,0,0,2,2,2,3,2,3,1,2,3,2,2,2,2,2,3,2,2
1,2,NA,NA,4,2,NA,NA,NA,NA,32,30-39,Female,Nordrhein-Westfalen,1,"With partner, not living together","No, I don't feel close to any religion",NA,Employee in high position,"1,500 to below 2,000 <80>",1,7,Less than 3 kilometer,1000 and more,6,30,1,0.6666666666666666,0.3333333333333333,3,4,4,4,4,4,4,4,3,4,4,4,3,3,3,3,4
1,1,NA,NA,1,1,NA,NA,NA,NA,62,60 and older,Female,Niedersachsen,1,"With partner, living together","Christian, but not close to a particular religious community",NA,Employee in high position,"5,000 or more <80>",5,5,Less than 3 kilometer,500 <96> 999,4,0,0.375,0.3333333333333333,0.3333333333333333,2,2,2,2,2,3,1,3,3,3,1,2,1,2,4,3,2
1,4,NA,NA,1,4,NA,NA,NA,NA,24,18-29,Female,Mecklenburg-Vorpommern,1,"With partner, living together",No answer,NA,Homemaker,"1,000 to below 1,500 <80>",4,0 ( BOTTOM ),Less than 3 kilometer,1000 and more,5,0,0.75,1,0.8333333333333334,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,1,NA,NA,1,1,NA,NA,NA,NA,53,50-59,Female,Nordrhein-Westfalen,1,Divorced / separated,Jewish,NA,Employee in high position,"1,500 to below 2,000 <80>",1,4,Don't know,50 <96> 249,5,1,0.25,0,0.16666666666666666,2,3,1,3,1,3,3,3,3,2,3,1,2,1,1,1,1
1,1,NA,NA,1,1,NA,NA,NA,1.09760944180165,62,60 and older,Male,Schleswig-Holstein,1,Married,"Christian, but not close to a particular religious community",NA,Retired,"1,500 to below 2,000 <80>",2,7,6-10 kilometers,500 <96> 999,2,10,0.5,0.3333333333333333,0,2,4,1,3,3,3,2,3,2,3,3,2,3,3,3,4,2
1,2,NA,NA,2,1,NA,NA,NA,1.09760944180165,47,40-49,Female,Schleswig-Holstein,1,Married,Protestant,NA,Employee in low / medium position,"2,500 to below 3,000 <80>",4,7,Less than 3 kilometer,1000 and more,10,0,0.25,0,0.16666666666666666,2,2,1,2,2,3,2,2,3,4,2,3,2,3,4,3,4
1,1,NA,NA,1,1,NA,NA,NA,1.09760944180165,48,40-49,Female,Schleswig-Holstein,1,Married,Protestant,NA,Employee in low / medium position,"4,000 to below 4,500 <80>",2,5,Less than 3 kilometer,500 <96> 999,5,0,0.375,0,0.5,2,2,3,2,1,3,2,2,2,2,2,2,2,2,3,2,3
1,3,NA,NA,4,4,NA,NA,NA,1.09760944180165,20,18-29,Female,Schleswig-Holstein,1,"With partner, living together","No, I don't feel close to any religion",NA,"In schooling / vocational training, student","1,000 to below 1,500 <80>",3,6,More than 50 kilometer,1000 and more,5,0,1,1,0.3333333333333333,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,1,1,1,3,1,NA,NA,NA,1.09760944180165,21,18-29,Female,Schleswig-Holstein,1,"Single, without partner","Eastern religion (Buddhism, Hinduism, Sikhism, Shinto, Tao, etc.)",14,"In schooling / vocational training, student",No answer,5,5,6-10 kilometers,500 <96> 999,4,0,0.125,0,0.3333333333333333,NA,2,2,3,2,3,2,3,3,2,3,3,2,2,3,2,3
1,1,NA,NA,2,1,NA,NA,NA,1.09760944180165,27,18-29,Female,Schleswig-Holstein,1,"With partner, living together","No, I don't feel close to any religion",NA,Employee in low / medium position,"1,500 to below 2,000 <80>",3,5,3-5 kilometers,500 <96> 999,5,0,0.125,0,0.3333333333333333,2,2,2,2,2,3,2,2,1,2,2,2,2,2,3,3,3
3,1,1,1,2,1,NA,NA,NA,1.09760944180165,28,18-29,Female,Schleswig-Holstein,1,"With partner, living together","No, I don't feel close to any religion",13,Employee in low / medium position,"1,500 to below 2,000 <80>",3,6,3-5 kilometers,500 <96> 999,5,0,0.125,0,0,NA,2,2,2,2,2,2,2,3,3,2,2,2,3,3,3,3
3,2,2,2,2,2,NA,NA,NA,1.09760944180165,49,40-49,Female,Schleswig-Holstein,1,Married,Protestant,13,Employee in low / medium position,"4,000 to below 4,500 <80>",2,5,21-50 kilometers,250 <96> 499,5,0,0.75,0,0.3333333333333333,NA,2,3,3,2,2,2,3,3,3,2,2,2,2,2,3,3
3,4,4,4,4,3,NA,NA,NA,1.09760944180165,21,18-29,Female,Schleswig-Holstein,1,"Single, without partner","No, I don't feel close to any religion",14,"In schooling / vocational training, student","1,000 to below 1,500 <80>",1,5,11-20 kilometers,250 <96> 499,5,0,0.875,0.6666666666666666,0.3333333333333333,NA,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4
3,3,2,2,3,2,NA,NA,NA,1.09760944180165,37,30-39,Female,Schleswig-Holstein,1,"Single, without partner","No, I don't feel close to any religion",10,Unskilled worker,No answer,2,0 ( BOTTOM ),Don't know,50 <96> 249,6,0,1,0,0.3333333333333333,NA,4,4,4,4,3,3,4,4,3,2,3,2,3,3,3,3
3,1,1,1,2,1,NA,NA,NA,1.09760944180165,47,40-49,Male,Schleswig-Holstein,1,Married,"No, I don't feel close to any religion",15,Civil servant,"4,500 to below 5,000 <80>",2,7,Less than 3 kilometer,1000 and more,6,0,0.25,0.6666666666666666,0.3333333333333333,NA,3,3,4,1,3,3,4,3,4,3,4,3,3,4,4,3
3,1,1,1,1,1,NA,NA,NA,1.09760944180165,63,60 and older,Male,Schleswig-Holstein,1,Married,"Christian, but not close to a particular religious community",16,Homemaker,"1,000 to below 1,500 <80>",2,7,6-10 kilometers,500 <96> 999,2,0,0.375,0.6666666666666666,0,NA,3,1,3,3,3,3,3,1,3,3,2,3,2,3,4,2
3,1,1,1,1,2,NA,NA,NA,1.09760944180165,48,40-49,Female,Schleswig-Holstein,1,Married,Protestant,15,Employee in low / medium position,"3,500 to below 4,000 <80>",4,7,3-5 kilometers,1000 and more,9,0,0.5,0,0.5,NA,2,2,2,2,3,2,3,3,3,3,2,2,3,4,3,3
1,1,NA,NA,1,1,NA,NA,NA,1.09760944180165,46,40-49,Male,Schleswig-Holstein,1,Married,"No, I don't feel close to any religion",NA,Civil servant,"4,000 to below 4,500 <80>",2,7,Don't know,500 <96> 999,5,0,0.5,0.6666666666666666,0,2,3,2,3,1,2,4,4,3,4,4,4,3,2,4,3,2
1,2,NA,NA,3,2,NA,NA,NA,0.986590816741162,45,40-49,Male,Schleswig-Holstein,1,"Single, without partner",Muslim,NA,Self-employed / freelancer,"500 to below 1,000 <80>",1,2,11-20 kilometers,250 <96> 499,5,27,0.75,0,0.16666666666666666,1,3,3,2,2,2,3,2,2,2,3,2,3,2,2,2,2
1,2,NA,NA,2,1,NA,NA,NA,0.986590816741162,19,18-29,Male,Schleswig-Holstein,1,"Single, without partner","No, I don't feel close to any religion",NA,"In schooling / vocational training, student","1,000 to below 1,500 <80>",5,7,Less than 3 kilometer,250 <96> 499,5,0,0.5,0.3333333333333333,0.6666666666666666,2,2,2,3,4,3,2,3,4,3,2,3,2,4,4,3,3
1,1,NA,NA,1,1,NA,NA,NA,0.986590816741162,29,18-29,Female,Schleswig-Holstein,1,"Single, without partner","No, I don't feel close to any religion",NA,Employee in low / medium position,"1,500 to below 2,000 <80>",1,4,6-10 kilometers,250 <96> 499,1,0,0,0,0,1,2,1,1,1,1,1,1,1,2,1,1,1,1,3,4,3
3,2,1,1,2,1,NA,NA,NA,0.986590816741162,60,50-59,Male,Schleswig-Holstein,1,Married,"No, I don't feel close to any religion",17,Employee in high position,"5,000 or more <80>",2,8,Less than 3 kilometer,1000 and more,1,0,0.625,0.3333333333333333,0.3333333333333333,NA,3,2,2,1,3,2,3,3,3,2,3,2,3,4,3,3
3,1,1,1,2,1,NA,NA,NA,0.986590816741162,20,18-29,Male,Schleswig-Holstein,1,"Single, without partner","No, I don't feel close to any religion",14,"In schooling / vocational training, student",below 500 <80>,4,5,Less than 3 kilometer,50 <96> 249,5,1,0.25,0.3333333333333333,0.6666666666666666,NA,3,2,3,3,3,2,3,2,3,2,3,2,3,3,3,3
1,1,NA,NA,1,1,NA,NA,NA,0.986590816741162,33,30-39,Female,Schleswig-Holstein,1,Married,Protestant,NA,Employee in high position,"3,500 to below 4,000 <80>",3,5,3-5 kilometers,500 <96> 999,4,0,0.25,0,0.16666666666666666,2,2,1,2,1,1,1,2,2,3,2,2,2,3,4,3,2
3,1,1,1,1,1,NA,NA,NA,0.986590816741162,70,60 and older,Female,Schleswig-Holstein,1,Divorced / separated,"No, I don't feel close to any religion",18,Retired,"1,000 to below 1,500 <80>",1,5,Less than 3 kilometer,1 <96> 49,2,0,0.125,0,0.3333333333333333,NA,2,1,1,1,2,2,1,3,4,3,2,2,3,4,4,2
1,1,NA,NA,1,1,NA,NA,NA,0.986590816741162,59,50-59,Male,Schleswig-Holstein,1,Married,Other non-Christian religion,NA,Employee in high position,"5,000 or more <80>",2,7,Less than 3 kilometer,50 <96> 249,1,0,0.375,0,0.5,2,3,2,2,1,3,2,2,3,3,2,2,2,3,3,3,3
1,1,NA,NA,1,1,NA,NA,NA,0.986590816741162,69,60 and older,Female,Schleswig-Holstein,1,Divorced / separated,"No, I don't feel close to any religion",NA,Retired,"1,000 to below 1,500 <80>",1,6,3-5 kilometers,250 <96> 499,1,0,0.125,0,0.3333333333333333,2,1,1,1,1,1,2,1,3,3,2,1,1,1,4,4,3
3,1,1,1,1,1,NA,NA,NA,0.986590816741162,30,18-29,Female,Schleswig-Holstein,1,"Single, without partner","No, I don't feel close to any religion",14,Employee in low / medium position,"1,500 to below 2,000 <80>",1,5,11-20 kilometers,50 <96> 249,0,0,0,0,0,NA,1,1,1,1,1,1,1,3,2,1,1,1,1,2,4,2
1,1,NA,NA,2,1,NA,NA,NA,0.986590816741162,30,30-39,Female,Schleswig-Holstein,0,"With partner, not living together",No answer,NA,"In schooling / vocational training, student",below 500 <80>,1,10 ( TOP ),6-10 kilometers,1000 and more,10,0,0.375,0.3333333333333333,0.3333333333333333,1,3,2,3,2,3,4,2,4,4,3,2,2,2,4,2,4
1,1,NA,NA,1,1,NA,NA,NA,0.986590816741162,67,60 and older,Female,Schleswig-Holstein,1,Married,Roman Catholic,NA,Retired,"1,500 to below 2,000 <80>",2,6,Less than 3 kilometer,500 <96> 999,5,2,0,0,0.5,1,2,2,2,1,2,1,2,2,2,2,2,2,3,2,2,2
1,1,NA,NA,1,1,NA,NA,NA,0.986590816741162,38,30-39,Male,Schleswig-Holstein,1,"With partner, living together","No, I don't feel close to any religion",NA,Employee in low / medium position,No answer,3,4,3-5 kilometers,1000 and more,1,2,0.25,0,0,2,4,2,1,1,1,2,1,1,1,2,1,2,1,3,3,1
3,2,2,2,2,2,NA,NA,NA,1.0163249516441006,29,18-29,Female,Schleswig-Holstein,1,"With partner, not living together","Christian, but not close to a particular religious community",16,Employee in low / medium position,"1,000 to below 1,500 <80>",1,4,3-5 kilometers,1000 and more,5,0,0.75,0.3333333333333333,0.5,NA,3,3,3,3,3,2,3,2,4,3,4,2,3,4,3,3
3,1,1,1,3,1,NA,NA,NA,1.0163249516441006,22,18-29,Female,Schleswig-Holstein,1,"Single, without partner","Christian, but not close to a particular religious community",3,Employee in low / medium position,"1,000 to below 1,500 <80>",1,7,Don't know,50 <96> 249,2,0,0.125,0,0,NA,2,1,2,3,2,1,2,3,3,1,3,2,3,3,4,4
3,2,2,2,2,3,NA,NA,NA,1.0163249516441006,34,30-39,Male,Schleswig-Holstein,1,"With partner, living together","No, I don't feel close to any religion",16,Unskilled worker,"3,000 to below 3,500 <80>",2,7,3-5 kilometers,1000 and more,7,30,1,1,0.5,NA,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4
3,3,2,3,2,2,NA,NA,NA,1.0163249516441006,47,40-49,Male,Schleswig-Holstein,1,"Single, without partner",Protestant,12,Retired,"1,000 to below 1,500 <80>",1,3,3-5 kilometers,50 <96> 249,4,1,0.25,0,0.3333333333333333,NA,2,2,2,3,3,3,2,2,2,3,2,2,2,3,2,2
3,1,1,1,2,1,NA,NA,NA,1.0163249516441006,50,40-49,Female,Schleswig-Holstein,1,Married,"No, I don't feel close to any religion",13,Skilled worker,"2,000 to below 2,500 <80>",2,5,11-20 kilometers,1000 and more,3,0,0.375,0,0.5,NA,2,3,3,2,3,2,2,3,3,2,2,2,3,4,3,3
3,1,1,1,1,1,NA,NA,NA,1.0163249516441006,31,30-39,Female,Schleswig-Holstein,0,"With partner, living together",Protestant Free Church,10,Homemaker,"500 to below 1,000 <80>",2,5,Less than 3 kilometer,500 <96> 999,5,38,0.625,1,0.8333333333333334,NA,2,4,4,4,4,4,4,2,3,4,2,3,2,2,4,2
3,2,2,2,2,2,NA,NA,NA,1.0163249516441006,59,50-59,Female,Schleswig-Holstein,1,Divorced / separated,"No, I don't feel close to any religion",13,Retired,"500 to below 1,000 <80>",1,2,Less than 3 kilometer,1000 and more,7,51,0.875,1,0.3333333333333333,NA,3,3,4,4,4,3,4,4,4,3,4,3,3,3,4,3
1,3,NA,NA,3,3,NA,NA,NA,1.0163249516441006,58,50-59,Female,Schleswig-Holstein,1,Divorced / separated,"No, I don't feel close to any religion",NA,Retired,"500 to below 1,000 <80>",1,4,Less than 3 kilometer,1000 and more,8,51,0.875,1,0.5,3,3,4,4,4,4,3,4,4,3,3,3,3,3,3,3,3
3,3,2,3,3,3,NA,NA,NA,1.0163249516441006,55,50-59,Male,Schleswig-Holstein,1,Divorced / separated,Protestant Free Church,15,Retired,"500 to below 1,000 <80>",1,4,3-5 kilometers,500 <96> 999,5,30,1,1,0.6666666666666666,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,1,1,1,1,1,NA,NA,NA,1.0163249516441006,64,60 and older,Male,Schleswig-Holstein,1,Divorced / separated,"No, I don't feel close to any religion",14,Skilled worker,"1,000 to below 1,500 <80>",1,5,3-5 kilometers,50 <96> 249,5,1,0.75,0.6666666666666666,0.16666666666666666,NA,4,2,2,4,3,2,3,3,4,3,3,4,4,4,4,4
1,3,NA,NA,3,3,NA,NA,NA,1.0163249516441006,33,30-39,Male,Schleswig-Holstein,1,"With partner, living together","No, I don't feel close to any religion",NA,Employee in low / medium position,"2,500 to below 3,000 <80>",2,4,Less than 3 kilometer,500 <96> 999,7,0,1,1,0.5,3,4,3,4,4,4,3,4,4,4,3,4,4,4,4,4,4
3,1,2,1,2,1,NA,NA,NA,1.0163249516441006,28,18-29,Male,Schleswig-Holstein,1,"Single, without partner","Eastern religion (Buddhism, Hinduism, Sikhism, Shinto, Tao, etc.)",18,Permanently sick or disabled,"500 to below 1,000 <80>",1,6,21-50 kilometers,50 <96> 249,5,0,0.75,0.3333333333333333,0.16666666666666666,NA,3,2,2,2,3,2,3,1,3,2,3,2,3,3,3,2
1,3,NA,NA,3,3,NA,NA,NA,1.0163249516441006,54,50-59,Male,Schleswig-Holstein,1,Divorced / separated,Protestant Free Church,NA,Retired,"500 to below 1,000 <80>",1,1,3-5 kilometers,500 <96> 999,4,15,1,1,0.5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4
1,2,NA,NA,2,2,NA,NA,NA,1.0163249516441006,29,18-29,Female,Schleswig-Holstein,1,"With partner, living together","No, I don't feel close to any religion",NA,Employee in low / medium position,"2,000 to below 2,500 <80>",2,4,3-5 kilometers,500 <96> 999,5,2,1,0,0.3333333333333333,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3
1,1,NA,NA,2,2,NA,NA,NA,1.0163249516441006,63,60 and older,Male,Schleswig-Holstein,1,"With partner, not living together","No, I don't feel close to any religion",NA,Skilled worker,"1,000 to below 1,500 <80>",1,5,Less than 3 kilometer,1 <96> 49,6,20,0.625,0.6666666666666666,0,3,3,3,3,3,1,2,3,3,3,2,3,3,3,4,3,3
1,1,NA,NA,2,1,NA,NA,NA,1.0163249516441006,27,18-29,Male,Schleswig-Holstein,1,"Single, without partner","No, I don't feel close to any religion",NA,Unskilled worker,"1,000 to below 1,500 <80>",1,6,3-5 kilometers,50 <96> 249,4,0,0.5,0,0.5,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,4,2
1,3,NA,NA,2,2,NA,NA,NA,1.0163249516441006,46,40-49,Male,Schleswig-Holstein,1,"Single, without partner",Protestant,NA,Retired,"1,000 to below 1,500 <80>",1,6,Don't know,250 <96> 499,4,0,0.25,0,0,3,3,3,2,3,2,3,3,3,2,3,3,3,2,2,2,2
3,1,1,1,1,1,NA,NA,NA,1.0879415710239977,64,60 and older,Male,Schleswig-Holstein,1,"With partner, living together",Protestant,11,Retired,"3,000 to below 3,500 <80>",2,6,3-5 kilometers,500 <96> 999,7,2,0.75,0,0.3333333333333333,NA,2,1,3,1,1,1,2,1,2,2,2,2,2,2,1,2
1,3,NA,NA,1,3,NA,NA,NA,1.0879415710239977,45,40-49,Male,Schleswig-Holstein,1,"Single, without partner",Protestant Free Church,NA,Unemployed / seeking work,"500 to below 1,000 <80>",2,6,3-5 kilometers,1 <96> 49,5,0,0.375,0,0,3,3,3,2,2,2,3,2,2,3,2,3,2,3,3,3,3
3,2,3,2,3,3,NA,NA,NA,1.0879415710239977,21,18-29,Female,Schleswig-Holstein,1,Married,Protestant,14,Employee in low / medium position,"2,000 to below 2,500 <80>",2,6,Less than 3 kilometer,500 <96> 999,7,66,0.75,1,0.8333333333333334,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,2,NA,NA,3,4,NA,NA,NA,1.0879415710239977,48,40-49,Male,Schleswig-Holstein,1,Married,Roman Catholic,NA,Employee in high position,"3,500 to below 4,000 <80>",2,5,3-5 kilometers,500 <96> 999,8,100,0.75,1,0.3333333333333333,3,3,1,4,3,4,3,4,4,4,3,4,2,4,4,4,4
3,1,1,1,2,1,NA,NA,NA,1.1487778958554729,38,30-39,Female,Schleswig-Holstein,1,Married,"Christian, but not close to a particular religious community",15,Parental leave,"3,000 to below 3,500 <80>",4,5,Don't know,50 <96> 249,5,6,0.75,1,0.6666666666666666,NA,3,3,3,3,3,4,3,3,4,3,4,2,2,4,4,3
3,1,4,4,1,4,NA,NA,NA,0.8936170212765957,66,60 and older,Female,Schleswig-Holstein,1,Widowed,"No, I don't feel close to any religion",13,Retired,"500 to below 1,000 <80>",1,1,Don't know,1000 and more,5,0,0.75,0,0,NA,3,4,3,4,3,4,4,4,4,4,4,3,4,4,4,3
1,3,NA,NA,2,2,NA,NA,NA,0.9842839036755386,55,50-59,Male,Schleswig-Holstein,1,"Single, without partner","No, I don't feel close to any religion",NA,Employee in low / medium position,"1,500 to below 2,000 <80>",1,5,6-10 kilometers,50 <96> 249,4,37,0.875,1,0.5,1,4,2,4,3,3,3,3,3,4,3,3,3,3,3,3,3
1,3,NA,NA,4,2,NA,NA,NA,0.927536231884058,28,18-29,Female,Schleswig-Holstein,1,"Single, without partner","No, I don't feel close to any religion",NA,Unemployed / seeking work,"500 to below 1,000 <80>",2,3,More than 50 kilometer,50 <96> 249,5,0,0.625,1,0.8333333333333334,3,2,3,4,4,4,3,2,3,4,3,3,2,3,4,4,4
3,3,3,1,3,2,NA,NA,NA,0.927536231884058,29,18-29,Female,Schleswig-Holstein,1,Divorced / separated,No answer,11,Homemaker,"1,000 to below 1,500 <80>",2,3,11-20 kilometers,1 <96> 49,5,0,1,1,0.5,NA,3,3,4,4,4,3,3,4,4,3,3,2,3,4,4,4
1,1,NA,NA,1,1,NA,NA,NA,1.1243781094527363,56,50-59,Female,Schleswig-Holstein,1,Married,Protestant,NA,Employee in low / medium position,"3,000 to below 3,500 <80>",2,6,6-10 kilometers,50 <96> 249,2,1,0.25,0,0.3333333333333333,0,2,1,2,2,3,2,1,1,3,2,1,1,1,4,3,2
3,1,1,1,1,1,NA,NA,NA,1.3564356435643563,53,50-59,Male,Schleswig-Holstein,1,"With partner, living together","No, I don't feel close to any religion",14,Unemployed / seeking work,"1,500 to below 2,000 <80>",2,3,Less than 3 kilometer,1 <96> 49,8,0,0.25,0,0.5,NA,2,1,2,1,2,3,1,1,1,4,4,1,1,1,1,1
1,1,NA,NA,1,1,NA,NA,NA,1.3564356435643563,52,50-59,Male,Schleswig-Holstein,1,"With partner, living together",Protestant,NA,Unemployed / seeking work,"1,500 to below 2,000 <80>",2,4,Less than 3 kilometer,1 <96> 49,7,0,0.25,0,1,2,3,1,2,3,3,1,1,1,4,4,1,2,1,1,1,4
